Listing,Company,Location,Job Type,Post Date,Link,Experience,Soft Skills,Qualifications
SIU Investigator,Delta Group,58 - 77KRemote:Oklahoma (USA),Full remote,3 days ago,https://jobgether.com/offer/666b882c7f4fdab8dd6b5cef-siu-investigator,Senior (5-10 years),"Strong investigative skills, Detail-oriented for fraud recognition, Excellent communication and organizational skills, Ability to work independently and interact effectively"," Qualifications:  5-10 years' claims and SIU experience, CFE or FCLS designation preferred. "
"Program Consultant - Waste diversion, remote optional",Center for EcoTechnology,Remote:Massachusetts (USA),Full remote,3 days ago,https://jobgether.com/offer/666b882b7f4fdab8dd6b5cb2-program-consultant---waste-diversion-remote-optional,Mid-level (2-5 years),"Strong organizational skills and ability to multitask., Proactive problem-solving mindset, adept at virtual and in-person communication., Exemplary time management capabilities, self-sufficiency and teamwork attitude."," Qualifications:  At least 2 years of customer service experience and written communications experience, or 3-4 years of customer service and written deliverable experience., 1 year work experience in non-profit, environmental/sustainability, energy or waste field preferred., Excellent writing skills for different forms of content like newsletters, case studies, blog posts. Rapport building with stakeholders.. "
Private Investigator,Delta Group,38 - 67KRemote:Georgia (USA),Full remote,3 days ago,https://jobgether.com/offer/666b882b7f4fdab8dd6b5ca2-private-investigator,,"Detail-oriented, Adaptable to changing scenarios, Strong analytical thinking, Excellent communication skills, Proactive mindset"," Qualifications:  Must be 18 years of age, Associate degree or relevant experience preferred, Pass background check and clean driving record, Willingness to obtain investigator license. "
Private Investigator,Delta Group,38 - 67KRemote:California (USA),Full remote,3 days ago,https://jobgether.com/offer/666b882b7f4fdab8dd6b5c9e-private-investigator,,"Attention to detail, Strong judgment and decision-making"," Qualifications:  Must be 18 years or older, Associate degree preferred. "
Private Investigator,Delta Group,38 - 67KRemote:Pennsylvania (USA),Full remote,3 days ago,https://jobgether.com/offer/666b882b7f4fdab8dd6b5c9a-private-investigator,,"Team player, Quick decision-maker, Critical thinker, Alertness and adaptability"," Qualifications:  18 years old, Associate degree or relevant experience, Clean driving record. "
Legal Counsel,Enghouse,Remote:Massachusetts (USA),Full remote,3 days ago,https://jobgether.com/offer/666b88287f4fdab8dd6b5bda-legal-counsel,Senior (5-10 years),"Cross-cultural teamwork and leadership, Strong communication and problem-solving skills"," Qualifications:  Qualified lawyer with 3-5 years post-qualification experience, Experience in technology law and contract management. "
Head of Content,Web International Services Ltd. (WIS),Remote:Oregon (USA),Full remote,3 days ago,https://jobgether.com/offer/666b88267f4fdab8dd6b5b5c-head-of-content,Senior (5-10 years),"Strong leadership capabilities fostering growth and development., Excellent communication, adaptable in fast-paced environment."," Qualifications:  At least 5 years of content management experience with a minimum of 3 years in a leadership role, iGaming industry expertise preferred., Strong leadership, communication, and organizational skills, along with knowledge of content creation processes and SEO best practices.. "
Demand Generation Manager (Atlanta),Mojix,"Remote:Georgia (USA), Illinois (USA)",Full remote,3 days ago,https://jobgether.com/offer/666b88237f4fdab8dd6b5ab2-demand-generation-manager-atlanta,Senior (5-10 years),"Excellent team player, Detail oriented and innovative, Strong project management skills"," Qualifications:  5+ years B2B marketing experience, Bachelor’s degree in marketing or related field, Experience with enterprise cloud-based software. "
Account Executive - Commercial Real Estate,"Stealth Monitoring, Inc.",Remote:Mississippi (USA),Full remote,3 days ago,https://jobgether.com/offer/666b73437f4fdab8dd6ac512-account-executive---commercial-real-estate,Senior (5-10 years),"Team player with assertive management skills, Excellent communication under pressure, proactive problem-solving, Sense of urgency, results-driven, collaborator, Customer-focused with critical thinking ability"," Qualifications:  Post-secondary degree/diploma in business or similar experience, 4-6 years business development experience in commercial real estate, rental market, or security industry, Exceptional sales track record, completed formal sales training, Excellent communication and presentation skills, high energy and self-motivated. "
Account Executive - Commercial Real Estate,"Stealth Monitoring, Inc.",Remote:Alabama (USA),Full remote,3 days ago,https://jobgether.com/offer/666b73437f4fdab8dd6ac50e-account-executive---commercial-real-estate,Senior (5-10 years),"Team player with strong management skills, Excellent communication and interpersonal skills, high energy, sense of urgency"," Qualifications:  A post-secondary degree/diploma in business or comparable experience, 4-6 years of business development experience, luxury servicing sectors. "
Account Executive - Commercial Real Estate,"Stealth Monitoring, Inc.",Remote:Oregon (USA),Full remote,3 days ago,https://jobgether.com/offer/666b73437f4fdab8dd6ac500-account-executive---commercial-real-estate,Senior (5-10 years),"Team player with strong management skills and proactive attitude, Excellent communicator and active listener, effectively collaborates with cross-functional teams, Critical thinker who anticipates problems, adaptable and results-oriented, Customer-focused, understands diverse customer expectations and needs, Able to work with urgency, operates efficiently despite obstacles"," Qualifications:  Post-secondary degree/diploma or equivalent experience, 4-6 years of business development/sales experience in commercial real estate/security industry, Proven track record of exceptional sales performance and completed formal sales training, Excellent communication, presentation, and interpersonal skills, ability to operate under pressure, Experience with MS Office and CRM (Salesforce), high level of energy and self-motivation. "
Account Executive - Construction,"Stealth Monitoring, Inc.",Remote:Arizona (USA),Full remote,3 days ago,https://jobgether.com/offer/666b73437f4fdab8dd6ac4f8-account-executive---construction,Senior (5-10 years),"Team player with strong management skills, High energy self-motivated communicator"," Qualifications:  University education in Business Administration, 5-7 years experience in outbound sales, Experience selling technical solutions in construction. "
Business Development Representative,Versaterm Public Safety,Remote:Canada,Full remote,3 days ago,https://jobgether.com/offer/666b73437f4fdab8dd6ac4f0-business-development-representative,,"Excellent communication and interpersonal skills, Strong organizational and time management skills"," Qualifications:  2 years of experience in business development, sales, or marketing, Knowledge of CRM software and sales processes. "
Director of Product Marketing (USA - Remote),GridGain Systems,Remote:United States,Full remote,3 days ago,https://jobgether.com/offer/666b73437f4fdab8dd6ac4ec-director-of-product-marketing-usa---remote,Senior (5-10 years),"Excellent communication skills, Data-driven decision-maker, Strategic and self-directed leader"," Qualifications:  7-10 years product marketing experience, Deep domain expertise in real-time data infrastructure or streaming analytics. "
Mortgage Loan Officer *250 Compensation (Remote),LendingHouse,Remote:Colorado (USA),Full remote,3 days ago,https://jobgether.com/offer/666b73437f4fdab8dd6ac4de-mortgage-loan-officer-250-compensation-remote,,"Proactive self-sourcing abilities, Effective communication and negotiation skills"," Qualifications:  Self-sourcing $500K+ in monthly originations, High-School Diploma or GED Equivalent, Mortgage Loan Originator license with NMLS. "
Mortgage Loan Officer *250 Compensation (Remote),LendingHouse,"Remote:Panama, Florida (USA)",Full remote,3 days ago,https://jobgether.com/offer/666b73437f4fdab8dd6ac4d6-mortgage-loan-officer-250-compensation-remote,,"Self-motivated, Strong negotiation skills"," Qualifications:  Consistent $500K+ monthly originations, High-School Diploma or GED, Mortgage Loan Originator license. "
Payroll Lead,Parser,Remote:Argentina,Full remote,3 days ago,https://jobgether.com/offer/666b73427f4fdab8dd6ac4ce-payroll-lead,Senior (5-10 years),"Strong analytical skills, Clear communication and presentation, Proactive problem-solving mindset"," Qualifications:  At least 5 years of international payroll experience, BA/BS in business-related field. "
Tier 1 SOC Analyst,CyberClan,Remote:Connecticut (USA),Full remote,3 days ago,https://jobgether.com/offer/666b88307f4fdab8dd6b5dc5-tier-1-soc-analyst,,"Strong team player, Excellent interpersonal & customer service skills, Good written & verbal communication, Analytical problem-solving mindset"," Qualifications:  Educated at GCSE level or equivalent, Cyber Security Qualification (COMPTIA or equivalent). "
Temporary Dispatcher,BGM,Remote:Minnesota (USA),Full remote,3 days ago,https://jobgether.com/offer/666b882f7f4fdab8dd6b5dbb-temporary-dispatcher,,"Excellent communication skills, Strong deductive reasoning, Remaining calm under pressure, Proactive with attention to detail"," Qualifications:  Two or four year technical degree, 1-5 + years service center support or dispatch experience. "
Staff Accountant,ESHA Research,Remote:Oregon (USA),Full remote,3 days ago,https://jobgether.com/offer/666b882e7f4fdab8dd6b5d65-staff-accountant,Mid-level (2-5 years),"Excellent collaboration and relationship-building skills, Strong communication at all levels, Analytical with high attention to detail, Well-organized with exceptional time-management, Proven track record of business partnerships"," Qualifications:  Bachelor's Degree in Accounting, Finance, or Business Administration, At least 2 years of accounting experience, with 1 year in operational accounting within a high-growth company, Experience in SaaS or private equity-backed companies preferred, Advanced experience in financial ERP systems, NetSuite preferred, CPA certification in progress is advantageous. "
Senior Accountant,Leanpath,85 - 95KRemote:Oregon (USA),Full remote,3 days ago,https://jobgether.com/offer/666b882d7f4fdab8dd6b5d1b-senior-accountant,Senior (5-10 years),"Excellent communication and interpersonal skills for effective collaboration., Detail-oriented with high accuracy handling financial information."," Qualifications:  Bachelor's degree in Accounting, Finance, or related field; CPA certification preferred., 5+ years of public/private accounting experience., Strong analytical skills and knowledge of accounting principles and NetSuite/ADP.. "
SIU Investigator,Delta Group,58 - 77KRemote:Nevada (USA),Full remote,3 days ago,https://jobgether.com/offer/666b882c7f4fdab8dd6b5cf3-siu-investigator,Senior (5-10 years),"Detail-oriented, Excellent communication skills, Ability to work independently"," Qualifications:  5-10 years experience in claims and SIU investigations, CFE or FCLS designations preferred. "
SIU Investigator,Delta Group,58 - 77KRemote:Tennessee (USA),Full remote,3 days ago,https://jobgether.com/offer/666b882c7f4fdab8dd6b5ceb-siu-investigator,Senior (5-10 years),"Excellent communication skills, Attention to detail, Independent work ability"," Qualifications:  5-10 years' experience in claims, Strong investigative skills, CFE or FCLS designations preferred. "
Private Investigator,Delta Group,38 - 67KRemote:Ohio (USA),Full remote,3 days ago,https://jobgether.com/offer/666b882b7f4fdab8dd6b5c93-private-investigator,,"Proactive and excellent judgment., Resourcefulness, adaptability, innovative thinking."," Qualifications:  Must be 18 years of age., Associate degree or relevant experience preferred., Pass background check and clean driving record., Willingness to obtain investigator licensing., Compliance with State Licensure Laws.. "
Demand Generation Manager (Latin America),Mojix,Remote:Latin America,Full remote,3 days ago,https://jobgether.com/offer/666b88237f4fdab8dd6b5ab6-demand-generation-manager-latin-america,Senior (5-10 years),"Dependable team player, flexible, innovative, Excellent communicator, detail-oriented, influence stakeholders"," Qualifications:  C1/C2 English level, 5+ years B2B/digital/ABM marketing experience, bachelor's degree. "
Clinical Specialist - Phoenix AZ,Saluda Medical,Remote:Arizona (USA),Full remote,3 days ago,https://jobgether.com/offer/666b88237f4fdab8dd6b5a74-clinical-specialist---phoenix-az,Mid-level (2-5 years),"Proactive team player, Excellent problem-solving skills, Strong organizational and adaptability skills"," Qualifications:  Bachelor's degree or equivalent, 3+ years clinical experience & with medical devices. "
Accounts Receivable/Revenue Cycle Specialist,Revere Health,Remote:United States,Full remote,3 days ago,https://jobgether.com/offer/666b88207f4fdab8dd6b59d5-accounts-receivable-revenue-cycle-specialist,,"Team player, Excellent communication, Critical thinking, Problem-solving, Detail-oriented, Able to work independently"," Qualifications:  High School Diploma/GED, Critical thinking, problem-solving and follow-through skills, Team player with excellent communication skills, Understanding of accounts receivable process, Basic knowledge of medical services/insurance. "
Sr. Clinical Operations Manager,CPC,95 - 115KRemote:Colorado (USA),Full remote,3 days ago,https://jobgether.com/offer/666b73437f4fdab8dd6ac516-sr.-clinical-operations-manager,Senior (5-10 years),"Excellent organizational skills, Great attention to detail, Strong leadership capabilities, Adaptability to new situations, Effective conflict resolution abilities, Team player mindset"," Qualifications:  Nursing or BA/BS in scientific field, 5 years clinical research experience, 3 years project management experience, Knowledge of FDA and ICH regulations, Proficiency in Microsoft Office. "
Account Executive - Commercial Real Estate,"Stealth Monitoring, Inc.",Remote:Minnesota (USA),Full remote,3 days ago,https://jobgether.com/offer/666b73437f4fdab8dd6ac50a-account-executive---commercial-real-estate,Senior (5-10 years),"Excellent communication, interpersonal skills, Team player with influential management capabilities, Proactive mindset, operates with urgency to drive results, Critical thinker, customer-focused with sense of urgency, Strong collaboration and results orientation skills"," Qualifications:  Post-secondary degree in business or relevant experience, 4-6 years of business development experience in commercial real estate or security industry, formal sales training. "
Account Executive - Commercial Real Estate,"Stealth Monitoring, Inc.",Remote:Louisiana (USA),Full remote,3 days ago,https://jobgether.com/offer/666b73437f4fdab8dd6ac506-account-executive---commercial-real-estate,Senior (5-10 years),"Team player with strong management skills, Great written and verbal communication skills, Results-oriented with sense of urgency, Critical thinker with customer focus, Excellent collaborator in cross-functional relationships"," Qualifications:  Post-secondary degree/diploma in business, 4-6 years business development/sales experience, Excellent communication and presentation skills, High energy, well-organized team player, Experience in Commercial Real Estate/Security industry. "
Account Executive - Commercial Real Estate,"Stealth Monitoring, Inc.",Remote:Washington (USA),Full remote,3 days ago,https://jobgether.com/offer/666b73437f4fdab8dd6ac4fc-account-executive---commercial-real-estate,Senior (5-10 years),"Excellent interpersonal and communication skills, Proactive with a sense of urgency, Team player with high influence and assertiveness, Well organized with ability to handle multiple tasks, Active listener, shares information effectively"," Qualifications:  Degree/diploma in business or equivalent, 4-6 years of business development experience, Exceptional sales performance validation, Formal sales training completion, Effective communication and presentation skills. "
Technical Account Manager – Seattle,LevitasBio,"102 - 135KRemote:North America, Washington (USA)",Full remote,3 days ago,https://jobgether.com/offer/666b73437f4fdab8dd6ac4f4-technical-account-manager---seattle,,"Strategic and analytical thinking, Excellent communication and presentation skills, Highly motivated with proactive approach"," Qualifications:  Bachelor’s degree in Chemistry, Biology, Molecular Biology or related field, Hands-on lab experience preferred, Sales experience with capital equipment and consumable reagents required. "
"Account Executive, Toronto, Canada",Dr. Barbara Sturm,Remote:Germany,Full remote,3 days ago,https://jobgether.com/offer/666b73437f4fdab8dd6ac4e2-account-executive-toronto-canada,Mid-level (2-5 years),"Team-oriented, Entrepreneurial drive"," Qualifications:  Strong communication skills, Attention to detail, Minimum 4 years experience, BA in Business or relevant field. "
Mortgage Loan Officer *250 Compensation (Remote),LendingHouse,Remote:Texas (USA),Full remote,3 days ago,https://jobgether.com/offer/666b73437f4fdab8dd6ac4da-mortgage-loan-officer-250-compensation-remote,,"Proactive self-starter, Strong sales and negotiation abilities"," Qualifications:  In-depth experience in mortgage origination, Valid Mortgage Loan Originator license with NMLS, High School Diploma or equivalent. "
Deputy Crew & Operations Manager - South Africa,Hill Robinson Yacht Management,Remote:France,Full remote,3 days ago,https://jobgether.com/offer/666b73437f4fdab8dd6ac4d2-deputy-crew-operations-manager---south-africa,,"Excellent communication skills, Innovative mindset, team player"," Qualifications:  Located in Cape Town, SA, Maritime industry experience, innovative. "
Analista de Desenvolvimento Back End Sr - Belvitur,BeFly,"Remote:Suriname, Brazil",Full remote,3 days ago,https://jobgether.com/offer/666b88207f4fdab8dd6b59ef-analista-de-desenvolvimento-back-end-sr---belvitur,Mid-level (2-5 years),"Analytical thinking, Passion for delivering great user experiences"," Qualifications:  Experience in modern web applications, Proficiency in Typescript/Javascript, algoritms and data structures. "
Assistente Administrativo - Vaga afirmativa para Pessoa com Deficiência (PcD) | Nível Brasil,MAG Seguros,Remote:Brazil,Full remote,3 days ago,https://jobgether.com/offer/666b88217f4fdab8dd6b5a15-assistente-administrativo---vaga-afirmativa-para-pessoa-com-deficiencia-pcd-nivel-brasil,,"Detail-oriented, Proactive team player"," Qualifications:  High school diploma, Previous administrative experience, Proficiency in Microsoft Office. "
AWS QuickSight Data Analyst | Mid/Senior,Compass.uol,Remote:Brazil,Full remote,3 days ago,https://jobgether.com/offer/666b652b7f4fdab8dd6a301d-aws-quicksight-data-analyst-mid-senior,Mid-level (2-5 years),"Strong analytical skills, Team player"," Qualifications:  Bachelor's degree in Computer Science or related field, Experience with data analysis and Tableau/Amazon QuickSigh. "
Estágio de Customer Success (SMB),Savvi,"Remote:Brazil, Delaware (USA)",Full remote,3 days ago,https://jobgether.com/offer/666b652b7f4fdab8dd6a3019-estagio-de-customer-success-smb,,"Proactive, organized, committed team player, great communication skills"," Qualifications:  Available for at least 30 hours per week, Expected graduation by December/2025, Technical knowledge of digital marketing and web development, familiarity with Google tools, negotiation techniques, time management, organization skills, intermediate English. "
Especialista FP&A II,Grupo Boticário,Remote:Brazil,Full remote,3 days ago,https://jobgether.com/offer/666b88247f4fdab8dd6b5ad8-especialista-fp-a-ii,Mid-level (2-5 years),"Analytical thinker, effective communicator, Collaborative, hands-on, resilient, proactive"," Qualifications:  Bachelor's degree in Finance, Economics, Engineering, Accounting or related fields, Strong analytical and communication skills; ability to synthesize executive materials. "
[MEDIA.MONKS] Estágio em Conteúdo | Afirmativa para Pessoas Pretas,Media.Monks Brazil,Remote:Brazil,Full remote,3 days ago,https://jobgether.com/offer/666b88327f4fdab8dd6b5e65-media.monks-estagio-em-conteudo-afirmativa-para-pessoas-pretas,,"Creative and organized, Analytical mindset, eager to learn"," Qualifications:  Available for 30 hours per week, Enrolled in higher education in related fields. "
Gestor Comercial | Remoto | Empresa de Portugal,Sales Leaders Group,Remote:Portugal,Full remote,3 days ago,https://jobgether.com/offer/666b88267f4fdab8dd6b5b3c-gestor-comercial-remoto-empresa-de-portugal,,"Inspiring leadership, Excellent communication, Results-oriented with customer focus"," Qualifications:  High School diploma, Advanced Sales techniques knowledge, Experience in travel agencies, airlines or hotels. "
Product Manager | Sênior,Akad Seguros,Remote:Brazil,Full remote,3 days ago,https://jobgether.com/offer/666b652b7f4fdab8dd6a3013-product-manager-senior,,"Effective team collaboration, Agile execution approach, Proactive problem-solving attitude, Strong analytical thinking capabilities"," Qualifications:  Experience in Product Management, Excellent communication skills written and verbal, Agile methodologies experience, Curiosity and eagerness to learn, Remote team management skills, Entrepreneurial and creative mindset. "
Account Executive,Firefly,Remote:United Kingdom,Full remote,3 days ago,https://jobgether.com/offer/666b652b7f4fdab8dd6a3007-account-executive,,"Excellent communication and presentation skills, Building and nurturing key relationships"," Qualifications:  Proven 3+ years experience in Account Executive role in tech/startup companies, sales to mid-market and Enterprise clients, Familiarity with Cloud ecosystem, experience in lead generation and account management. "
"Solutions Engineer, LATAM",BioCatch,48 - 192KRemote:Latin America,Full remote,3 days ago,https://jobgether.com/offer/666b882e7f4fdab8dd6b5d51-solutions-engineer-latam,Mid-level (2-5 years),"Great customer-facing and communication abilities, Proactive problem-solving approach, Strong project leadership capabilities, Effective organizational and time management skills"," Qualifications:  3+ years integrating cloud solutions, Experience in frontend or fullstack development, Customer support and communication skills, Project management and organizational abilities, Fluent in English, Portuguese; Spanish proficiency. "
Client Onboarding Specialist - Nitro (Central),Overwolf,Remote:United States,Full remote,3 days ago,https://jobgether.com/offer/666b88237f4fdab8dd6b5a6e-client-onboarding-specialist---nitro-central,Junior (1-2 years),"Strong problem-solving & client management, Exceptional patience and communication skills"," Qualifications:  1-2 years Client Support experience, Technical fluency in AdTech, Knowledge of programmatic advertising ecosystem, Proficiency with SSP dashboards and CRMs. "
Business Development Manager - Nitro (Central),Overwolf,Remote:United States,Full remote,3 days ago,https://jobgether.com/offer/666b88227f4fdab8dd6b5a4a-business-development-manager---nitro-central,,"Clear & charismatic communication, Creative relationship building skills"," Qualifications:  Minimum of 2 years' experience in ad tech industry, Clear communication skills, knowledge of gaming industry and sales development. "
"Software Engineer, DDL Metadata, EMEA",Firebolt,Remote:EMEA,Full remote,3 days ago,https://jobgether.com/offer/666b652b7f4fdab8dd6a3000-software-engineer-ddl-metadata-emea,Mid-level (2-5 years),"Analytical thinker with clean code expertise, Team player with effective communication"," Qualifications:  3+ years professional software developer experience, Strong knowledge of C++, SQL, Linux, and distributed systems, Experience in algorithms, data structures, concurrency, and design patterns. "
"Senior Manager, Sales Planning",Trax Retail,Remote:United States,Full remote,3 days ago,https://jobgether.com/offer/666b652b7f4fdab8dd6a2ffa-senior-manager-sales-planning,Senior (5-10 years),"Team player and proactive problem solver, Excellent leadership and multitasking skills"," Qualifications:  Self-directed with problem-solving skills, Strong leadership and project management abilities, 5+ years in media planning & managerial roles. "
Senior QA engineer - Poland,Riverside.fm,Remote:Poland,Full remote,3 days ago,https://jobgether.com/offer/666b652b7f4fdab8dd6a2ff3-senior-qa-engineer---poland,Mid-level (2-5 years),"Highly motivated, Excellent communication skills"," Qualifications:  4+ years manual testing experience, Knowledge of cloud environments. "
Remote Sr. Java Developer,Sequoia Global Services,"Remote:Suriname, Mexico, Delaware (USA)",Full remote,3 days ago,https://jobgether.com/offer/666b652b7f4fdab8dd6a2fed-remote-sr.-java-developer,Mid-level (2-5 years),"Effective communication, Proactive ownership, volunteering information"," Qualifications:  Java 8 or Java 11, Spring Boot, Web Services, Git Hub, Cloud (GCP) experience. "
Remote Data Engineer,Sequoia Global Services,"Remote:Mexico, Delaware (USA)",Full remote,3 days ago,https://jobgether.com/offer/666b652b7f4fdab8dd6a2fe3-remote-data-engineer,,"Logical thinking, Effective communication"," Qualifications:  Experience with Azure, Python, SQL, Good logic-building and communication skills. "
Analista de Suporte RM Junior,CRM Services,"Remote:Brazil, Delaware (USA)",Full remote,3 days ago,https://jobgether.com/offer/666b88207f4fdab8dd6b59f3-analista-de-suporte-rm-junior,Junior (1-2 years),"Great communication skills., Team player and adaptable."," Qualifications:  Knowledge in TOTVS RM Educational module and Application Process;, Ability to communicate effectively with stakeholders verbally and in writing;. "
Desenvolvedor Front-End (Mobile/Web) Sênior,Leega,Remote:Brazil,Full remote,3 days ago,https://jobgether.com/offer/666b570f7f4fdab8dd67ecae-desenvolvedor-front-end-mobile-web-senior,,"Proactive problem-solver, Team player with attention to detail"," Qualifications:  Experience in React Native/React, Proficiency in JavaScript/TypeScript, Git, Next.js. "
Inclusão de Pessoas com Deficiência (PcD) | Banco de Talentos Nível Brasil,MAG Seguros,"Remote:Brazil, Delaware (USA)",Full remote,3 days ago,https://jobgether.com/offer/666b88267f4fdab8dd6b5b76-inclusao-de-pessoas-com-deficiencia-pcd-banco-de-talentos-nivel-brasil,,"Team player, Strong interpersonal communication"," Qualifications:  High school diploma, Updated medical report with CID. "
Suporte | Pessoa Supervisora de Atendimento,Gupy,"Remote:Brazil, Delaware (USA)",Full remote,3 days ago,https://jobgether.com/offer/666b882f7f4fdab8dd6b5da1-suporte-pessoa-supervisora-de-atendimento,,"Great leadership skills, Proactive and adaptable mindset"," Qualifications:  Experience in customer service (B2C/B2B), Knowledge of support metrics and tools. "
7252199 - AI MACHINE LEARNING ENGINEER,Quality Digital,Remote:Brazil,Full remote,3 days ago,https://jobgether.com/offer/666b570f7f4fdab8dd67ecaa-7252199---ai-machine-learning-engineer,,"Collaborative team player, Excellent communication and presentation skills"," Qualifications:  Bachelor's degree in Data Science, Computer Engineering, Statistics, or related fields, Experience in Data Analytics, Advanced knowledge in programming languages for AI and data analysis (Python, R, etc.), Proficiency in data analysis and visualization tools (Power BI, Tableau, Google Data Studio). "
PESSOA  ANALISTA DEVOPS SR  - RHA3132,Spread Tecnologia,"Remote:Suriname, Brazil",Full remote,3 days ago,https://jobgether.com/offer/666b570f7f4fdab8dd67eca6-pessoa-analista-devops-sr---rha3132,Mid-level (2-5 years),"Great team player, Strong relational abilities, Proactive problem-solving mindset"," Qualifications:  Bachelor's degree in IT, Cloud solution design experience, AWS and Azure knowledge, Terraform automation expertise, Excellent presentation skills. "
BPS_BANCO DE TALENTOS_ATENDENTE DE SUPORTE TÉCNICO,Tech Mahindra,"Remote:Brazil, Delaware (USA)",Full remote,3 days ago,https://jobgether.com/offer/666b570f7f4fdab8dd67ec9c-bps_banco-de-talentos_atendente-de-suporte-tecnico,,"Effective team communication, Proactive problem solver"," Qualifications:  Understanding of computer systems, Experience in 24/7 work environments, Excellent verbal and written communication skills. "
Técnico de Seguranca do Trabalho III - Vaga Temporária,Grupo Boticário,"Remote:Brazil, Delaware (USA)",Full remote,3 days ago,https://jobgether.com/offer/666b88307f4fdab8dd6b5dd7-tecnico-de-seguranca-do-trabalho-iii---vaga-temporaria,Mid-level (2-5 years),," Qualifications:  Technical degree in Occupational Safety with solid experience, Knowledge in Google tools and computer skills, Driver's license required, residency in Recife or metropolitan area. "
